threshold,SP,SE,sumsesp
0.17,0.016129032,1,1.016129032
0.2,0.032258065,1,1.032258065
0.22,0.048387097,1,1.048387097
0.24,0.064516129,1,1.064516129
0.27,0.080645161,1,1.080645161
0.28,0.096774194,1,1.096774194
0.29,0.112903226,1,1.112903226
0.3,0.129032258,1,1.129032258
0.31,0.14516129,1,1.14516129
0.33,0.161290323,1,1.161290323
0.36,0.177419355,1,1.177419355
0.38,0.193548387,1,1.193548387
0.41,0.209677419,1,1.209677419
0.43,0.225806452,1,1.225806452
0.43,0.241935484,1,1.241935484
0.45,0.258064516,1,1.258064516
0.46,0.274193548,1,1.274193548
0.48,0.290322581,1,1.290322581
0.51,0.306451613,1,1.306451613
0.52,0.322580645,1,1.322580645
0.54,0.338709677,1,1.338709677
0.57,0.35483871,1,1.35483871
0.6,0.370967742,1,1.370967742
0.61,0.387096774,1,1.387096774
0.64,0.403225806,1,1.403225806
0.66,0.419354839,1,1.419354839
0.68,0.435483871,1,1.435483871
0.71,0.451612903,1,1.451612903
0.73,0.467741935,1,1.467741935
0.76,0.483870968,1,1.483870968
0.78,0.5,1,1.5
0.8,0.516129032,1,1.516129032
0.82,0.532258065,1,1.532258065
0.85,0.548387097,1,1.548387097
0.88,0.564516129,1,1.564516129
0.88,0.580645161,1,1.580645161
0.91,0.596774194,1,1.596774194
0.92,0.612903226,1,1.612903226
0.93,0.629032258,1,1.629032258
0.97,0.64516129,1,1.64516129
1.02,0.661290323,1,1.661290323
1.06,0.677419355,1,1.677419355
1.11,0.693548387,1,1.693548387
1.14,0.709677419,1,1.709677419
1.19,0.725806452,1,1.725806452
1.24,0.741935484,1,1.741935484
1.29,0.758064516,1,1.758064516
1.35,0.774193548,1,1.774193548
1.63,0.790322581,1,1.790322581
1.91,0.806451613,1,1.806451613
1.97,0.822580645,1,1.822580645
2.1,0.838709677,1,1.838709677
2.24,0.85483871,1,1.85483871
2.54,0.870967742,1,1.870967742
2.84,0.887096774,1,1.887096774
2.9,0.903225806,1,1.903225806
3.66,0.919354839,1,1.919354839
4.47,0.919354839,0.97,1.889354839
4.63,0.919354839,0.94,1.859354839
4.95,0.919354839,0.91,1.829354839
5.48,0.935483871,0.91,1.845483871
6,0.935483871,0.88,1.815483871
6.57,0.935483871,0.85,1.785483871
6.93,0.935483871,0.82,1.755483871
7.09,0.935483871,0.79,1.725483871
7.76,0.935483871,0.76,1.695483871
8.49,0.935483871,0.74,1.675483871
8.87,0.951612903,0.74,1.691612903
9.22,0.951612903,0.71,1.661612903
9.52,0.951612903,0.68,1.631612903
9.66,0.951612903,0.65,1.601612903
9.88,0.951612903,0.62,1.571612903
10.18,0.951612903,0.59,1.541612903
10.46,0.967741935,0.59,1.557741935
10.73,0.967741935,0.56,1.527741935
10.87,0.967741935,0.53,1.497741935
11.59,0.967741935,0.5,1.467741935
12.38,0.967741935,0.47,1.437741935
12.83,0.967741935,0.44,1.407741935
13.45,0.967741935,0.41,1.377741935
13.89,0.967741935,0.38,1.347741935
14.37,0.967741935,0.35,1.317741935
14.72,0.983870968,0.35,1.333870968
14.91,0.983870968,0.32,1.303870968
15.24,0.983870968,0.29,1.273870968
15.53,0.983870968,0.26,1.243870968
16.04,0.983870968,0.24,1.223870968
16.71,0.983870968,0.21,1.193870968
17.28,0.983870968,0.18,1.163870968
17.97,0.983870968,0.15,1.133870968
19.41,0.983870968,0.12,1.103870968
22.86,0.983870968,0.09,1.073870968
26.69,0.983870968,0.06,1.043870968
30.6,1,0.06,1.06
40.82,1,0.03,1.03
